OSEBuildingID,PrimaryPropertyType,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuildings,ENERGYSTARScore,SiteEUIkBtusf,SiteEUIWNkBtusf,SourceEUIkBtusf,SourceEUIWNkBtusf,SiteEnergyUsekBtu,SiteEnergyUseWNkBtu,SteamUsekBtu,ElectricitykWh,ElectricitykBtu,NaturalGastherms,NaturalGaskBtu,OtherFuelUsekBtu,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,SiteEUIkBtusf_diff1516,SiteEUIWNkBtusf_diff1516,SourceEUIkBtusf_diff1516,SourceEUIWNkBtusf_diff1516,SiteEnergyUsekBtu_diff1516,SiteEnergyUseWNkBtu_diff1516,SteamUsekBtu_diff1516,ElectricitykWh_diff1516,ElectricitykBtu_diff1516,NaturalGastherms_diff1516,NaturalGaskBtu_diff1516,TotalGHGEmissions_diff1516,GHGEmissionsIntensity_diff1516
21397,retailstore,7.0,1964.0,1.0,2.0,45271.0,0.0,45271.0,50.0,56.1,67.7,120.9,130.8,2540153.0,3066373.0,0.0,393193.0,1341630.0,11986.0,1198578.0,0.0,nan,73.01,1.49,4.700001529999994,2.699996949999999,14.80000609999999,8.60000310000001,142939.875,319465.5,0.0,41892.8125,142866.0,0.0,0.0,1.0,0.2
21398,small-andmid-sizedoffice,7.0,1920.0,1.0,3.0,28380.0,12180.0,16200.0,46.0,55.9,64.2,130.9,139.6,1585441.0,1822963.0,0.0,287345.0,980462.0,6050.0,605020.0,0.0,nan,38.97,1.22,20.400000760000005,21.29999847000001,28.90000000000001,29.999998500000004,687747.875,718790.5,0.0,36383.70310000001,124122.0,5869.259766,586946.0,30.24,1.03
21399,largeoffice,7.0,2009.0,1.0,5.0,508160.0,0.0,508160.0,77.0,79.4,79.8,222.0,222.4,27139746.0,27280750.0,0.0,6639417.0,22654631.0,44861.0,4486057.0,0.0,nan,396.18,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25034.625,0.0,0.0,0.0,0.0,0.35
21401,small-andmid-sizedoffice,7.0,1926.0,1.0,3.0,26176.0,0.0,26176.0,85.0,53.1,63.8,107.8,119.1,1259456.0,1513535.0,0.0,173399.0,591661.0,6678.0,667820.0,0.0,nan,39.59,1.42,0.0,0.0,0.7000121999999465,5.900012199999992,0.0,0.0,0.0,2639.8125,8875.0,-1110.2343699999983,0.0,0.0,0.3099999999999987
21413,small-andmid-sizedoffice,3.0,1926.0,1.0,1.0,37740.0,0.0,37740.0,1.0,194.5,189.2,589.9,573.0,7291418.0,7089718.0,0.0,2026927.0,6916162.0,3755.0,375542.0,0.0,high outlier,68.16,1.02,0.0,0.0,0.0,0.299993900000004,0.0,0.0,0.0,-6797.375,0.0,-667.7299800000001,0.0,0.0,0.1500000000000001
21418,other,7.0,1961.0,1.0,1.0,26000.0,0.0,26000.0,,78.1,84.1,193.9,201.0,3895403.0,4192866.0,1326000.0,753049.0,2569510.0,0.0,0.0,0.0,nan,120.26,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-199569.875,0.0,-1928.130371,0.0,0.0,0.0
21424,worshipfacility,7.0,2009.0,1.0,3.0,23241.0,0.0,23241.0,60.0,33.5,37.2,75.0,78.9,777915.0,864917.0,0.0,129937.0,443363.0,3346.0,334570.0,0.0,nan,20.86,0.82,0.6000003800000009,0.0,1.7999984700000056,0.0,38291.25,115393.0,0.0,11223.0,38210.0,0.0,0.0,0.2700000000000013,0.09
21425,other,7.0,1962.0,1.0,1.0,155795.0,0.0,155795.0,,115.4,120.4,334.9,340.1,17979460.0,18754112.0,0.0,4668926.0,15931037.0,20491.0,2049085.0,0.0,nan,219.88,0.97,0.8999992399999996,0.0,2.900003099999992,0.0,38003.875,139508.25,0.0,11138.1875,37935.0,0.0,0.0,0.2599999999999998,0.0999999999999999
21432,other,7.0,2002.0,1.0,1.0,21018.0,0.0,21018.0,,82.7,82.7,240.4,240.4,1737596.0,1737596.0,208000.0,448299.0,1529660.0,0.0,0.0,0.0,nan,26.72,0.96,0.2000007600000017,0.0,0.6999999999999886,0.0,10899.5,161876.0,0.0,3194.375,10797.0,0.0,0.0,0.0700000000000002,0.15
21433,other,7.0,1998.0,1.0,1.0,30533.0,0.0,30533.0,,210.1,216.6,435.7,428.0,6015128.0,6201956.0,0.0,863589.0,2946688.0,30686.0,3068561.0,0.0,nan,183.51,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61378.1875,0.0,0.0,0.0,0.0,0.21
21435,other,7.0,1961.0,1.0,2.0,33971.0,0.0,33971.0,,381.2,399.4,800.2,812.2,19061780.0,19968498.0,0.0,2803802.0,9566970.0,94952.0,9495206.0,0.0,nan,570.98,15.6,2.799993900000004,3.5,0.0,0.6999999999999886,97081.5,83656.0,0.0,-22081.625,0.0,1724.1503899999989,172425.0,8.629999999999995,0.6099999999999999
21436,other,7.0,1992.0,1.0,2.0,40600.0,0.0,40600.0,,74.7,75.7,172.9,174.5,2464720.0,2497369.0,232000.0,435377.0,1485569.0,3192.0,319212.0,427938.0,nan,45.22,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8202.8125,0.0,-161.5,0.0,0.0,0.16
21438,small-andmid-sizedoffice,7.0,1999.0,1.0,4.0,38038.0,0.0,38038.0,81.0,55.5,55.8,174.4,175.2,2112095.0,2122753.0,0.0,619020.0,2112183.0,0.0,0.0,0.0,nan,14.72,0.15,0.0,0.0,0.0,0.0,0.0,38815.5,0.0,-12139.3125,0.0,290.2397460000002,29033.0,1.25,0.11
21442,small-andmid-sizedoffice,7.0,2007.0,1.0,4.0,64596.0,24596.0,40000.0,93.0,54.2,62.0,118.8,126.9,2255263.0,2576941.0,0.0,360815.0,1231152.0,10242.0,1024163.0,0.0,nan,62.98,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12532.906200000029,0.0,115.97021500000028,11578.0,0.3200000000000003,0.13
21443,small-andmid-sizedoffice,7.0,1928.0,1.0,3.0,41466.0,6062.0,35404.0,1.0,238.1,229.3,536.4,508.7,9621807.0,9265802.0,0.0,1622394.0,5535838.0,40862.0,4086199.0,0.0,high outlier,255.61,5.59,0.8000015299999959,0.0,2.300001500000008,0.0,58022.5,303971.75,0.0,17657.1875,60137.0,-22.14940999999999,0.0,0.2999999999999971,0.13
21445,largeoffice,7.0,2013.0,1.0,6.0,130710.0,100800.0,29910.0,92.0,56.2,56.2,164.0,164.0,7359802.0,7359802.0,0.0,1925689.0,6570724.0,7894.0,789351.0,0.0,nan,87.73,0.45,1.3000000000000007,1.3000000000000007,4.799998470000006,4.799998470000006,90061.25,90061.25,0.0,32850.0,112024.0,-220.4299927,0.0,0.0,0.0399999999999999
21447,small-andmid-sizedoffice,7.0,1926.0,1.0,4.0,35780.0,0.0,35780.0,1.0,86.9,86.9,272.8,272.8,2316441.0,2316441.0,0.0,678910.0,2316538.0,0.0,0.0,0.0,nan,16.15,0.17,0.199998469999997,0.0,0.5999969000000078,0.0,6196.0,216548.25,0.0,1435.7031000000134,4865.0,12.879880000000412,1296.0,0.0999999999999943,0.1299999999999999
21459,mixeduseproperty,7.0,1964.0,1.0,4.0,25132.0,7308.0,17824.0,51.0,49.7,49.7,156.0,156.0,504439.0,504439.0,0.0,147843.0,504460.0,0.0,0.0,0.0,nan,3.52,0.05,0.3999998099999988,0.3999998099999988,1.2999992399999982,1.2999992399999982,9022.5,9022.5,0.0,2644.6015599999955,9011.0,0.0,0.0,0.0699999999999998,0.06
21464,other,7.0,1966.0,1.0,1.0,49680.0,0.0,49680.0,,66.2,65.9,131.6,132.8,3289053.0,3275846.0,1796000.0,394799.0,1347109.0,0.0,0.0,145944.0,nan,148.02,2.86,4.699996949999999,4.699996949999999,15.000012200000016,15.000012200000016,175141.5,175141.5,0.0,51629.375,176036.0,-9.81999969,0.0,1.1799999999999995,0.28
21465,other,7.0,1962.0,1.0,1.0,36314.0,0.0,36314.0,,73.2,77.8,160.2,165.9,2657625.0,2825316.0,780000.0,409332.0,1396697.0,2510.0,250986.0,229942.0,nan,83.27,2.13,0.0,0.0,0.0,0.9000000000000057,0.0,0.0,0.0,9743.1875,33112.0,-1538.290039,0.0,0.0,0.1099999999999999
21468,other,7.0,1916.0,1.0,2.0,25920.0,0.0,25920.0,,67.6,63.4,212.1,199.0,1367815.0,1282816.0,0.0,400884.0,1367871.0,0.0,0.0,0.0,nan,9.54,0.14,1.9999969499999963,0.0,0.0,0.0,92060.75,636281.0,0.0,-14617.593699999998,0.0,1419.1601599999997,141937.0,7.189999999999998,0.2399999999999997
21469,small-andmid-sizedoffice,7.0,1919.0,1.0,4.0,47686.0,0.0,47686.0,81.0,52.4,59.8,121.2,130.1,1781063.0,2033315.0,759621.0,299367.0,1021484.0,0.0,0.0,0.0,nan,65.75,1.29,10.40000076,10.10000076,0.0,0.0,185636.5,225288.6875,0.0,-203540.0,0.0,0.0,0.0,0.0,0.0
21471,other,7.0,1904.0,1.0,7.0,44928.0,0.0,44928.0,,9.2,9.2,27.4,27.4,413919.0,413919.0,0.0,111507.0,380478.0,335.0,33457.0,0.0,nan,4.43,0.06,3.5,1.4000007600000046,5.0,2.7000030500000065,73739.0,151356.6875,0.0,3796.3007799999978,12945.0,607.4497069999998,60785.0,3.320000000000004,0.2000000000000001
21478,mixeduseproperty,7.0,1900.0,1.0,2.0,49280.0,0.0,49280.0,,85.6,85.6,268.7,268.7,4217108.0,4217108.0,0.0,1235964.0,4217284.0,12016.0,1201563.0,0.0,nan,93.21,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-631212.5,0.0,643.375,64335.0,0.0,0.01
21482,restaurant,7.0,1912.0,1.0,2.0,25380.0,0.0,25380.0,,273.8,270.9,548.5,539.3,7003615.0,6928804.0,0.0,935894.0,3193402.0,38103.0,3810346.0,0.0,nan,224.63,8.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16877.0,0.0,-429.4902339999999,0.0,0.0,0.0
21483,small-andmid-sizedoffice,7.0,1915.0,1.0,6.0,40715.0,0.0,40715.0,,71.7,71.7,193.6,193.6,2917748.0,2917748.0,0.0,675656.0,2305435.0,6124.0,612408.0,0.0,nan,48.6,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19382.0,0.0,-1907.799805,0.0,0.0,0.0
21488,mixeduseproperty,7.0,1990.0,1.0,4.0,82065.0,34800.0,47265.0,93.0,40.4,43.8,126.9,137.6,1679127.0,1820763.0,0.0,492124.0,1679196.0,0.0,0.0,0.0,nan,11.71,0.05,30.2000061,21.900006099999985,20.799999999999955,18.700012199999943,1040185.0,1537165.0,0.0,-52690.75,0.0,12199.351559999996,1219965.0,63.53999999999997,2.45
21495,small-andmid-sizedoffice,7.0,1910.0,1.0,4.0,36160.0,0.0,36160.0,37.0,57.3,57.3,179.9,179.9,2071600.0,2071600.0,0.0,607151.0,2071686.0,0.0,0.0,0.0,nan,14.44,0.15,0.0,0.0,0.0,0.0,0.0,100264.75,0.0,-17651.5,0.0,0.0,0.0,0.0,0.13
21496,mixeduseproperty,7.0,1918.0,1.0,1.0,34617.0,0.0,34617.0,,145.6,144.5,326.8,323.3,5039523.0,5000668.0,0.0,844470.0,2881453.0,21582.0,2158190.0,0.0,nan,134.71,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209482.6875,0.0,3137.1601599999995,313692.0,11.679999999999993,0.4499999999999999
21505,small-andmid-sizedoffice,7.0,1909.0,1.0,5.0,48600.0,0.0,48600.0,100.0,22.7,22.7,68.8,68.8,1544117.0,1544117.0,0.0,428733.0,1462897.0,813.0,81281.0,0.0,nan,14.51,0.17,4.099999239999995,0.9999984700000084,6.399993899999998,0.5999999999999943,374020.0,766895.5,0.0,27499.875,93676.0,2802.349610000001,280191.0,15.53,0.3500000000000001
21508,other,7.0,1930.0,1.0,2.0,22710.0,0.0,22710.0,,12.3,12.3,38.5,38.5,278741.0,278741.0,0.0,81694.0,278752.0,0.0,0.0,0.0,nan,1.94,0.03,7.600000024865494e-07,0.0,0.0,0.0,0.0,31093.625,0.0,-94.09369999999764,0.0,0.0,0.0,0.0,0.09
21515,small-andmid-sizedoffice,4.0,2000.0,1.0,3.0,50499.0,13540.0,36959.0,17.0,82.0,82.0,257.2,257.2,3030041.0,3030041.0,0.0,887047.0,3026728.0,34.0,3438.0,0.0,nan,21.28,0.16,0.0,0.0,0.5999999999999943,0.0,0.0,84192.25,0.0,3242.0938000000024,11027.0,-139.6201170000004,0.0,0.0,0.09
21520,small-andmid-sizedoffice,4.0,1964.0,1.0,5.0,54465.0,9605.0,44860.0,68.0,64.2,65.6,183.4,182.6,3721129.0,3804232.0,0.0,943129.0,3218088.0,5032.0,503174.0,0.0,nan,49.16,0.65,19.19999695,15.700001529999994,27.599996900000008,25.099999999999994,409860.875,512079.25,0.0,22493.5,76713.0,3331.1396480000003,333112.0,18.230000000000004,0.8700000000000001
21521,k-12school,3.0,1930.0,1.0,2.0,45960.0,0.0,45960.0,58.0,88.7,110.4,133.3,156.2,4075193.0,5074849.0,0.0,259236.0,884550.0,31907.0,3190679.0,0.0,nan,175.62,3.74,0.5999992399999989,0.0,1.7000030500000065,0.0,11652.625,51944.125,0.0,3414.9063000000024,11631.0,0.0,0.0,0.0899999999999998,0.1099999999999999
21530,small-andmid-sizedoffice,7.0,1959.0,1.0,2.0,21128.0,0.0,21128.0,85.0,32.4,30.5,101.8,95.7,684865.0,644122.0,0.0,200722.0,684893.0,0.0,0.0,0.0,nan,4.77,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57532.09370000003,0.0,-1946.264404,0.0,0.0,0.0
21534,small-andmid-sizedoffice,7.0,2013.0,1.0,3.0,51552.0,0.0,51552.0,,24.3,24.3,76.1,76.1,1328920.0,1328920.0,0.0,389484.0,1328975.0,0.0,0.0,0.0,nan,9.26,0.07,0.3999996199999991,0.3999996199999991,1.0999984700000027,1.0999984700000027,7796.1875,7796.1875,0.0,2284.5,7783.0,0.0,0.0,0.0499999999999998,0.06
21535,hotel,7.0,1959.0,1.0,4.0,38520.0,0.0,38520.0,45.0,61.3,63.8,151.2,159.0,2361960.0,2456462.0,0.0,468790.0,1599579.0,7624.0,762448.0,0.0,nan,51.64,1.16,0.0,0.0,0.0,5.799987799999997,0.0,38894.0,0.0,-1115.5,0.0,-950.1503899999988,0.0,0.0,0.2699999999999996
21537,hotel,7.0,1961.0,1.0,3.0,29186.0,4256.0,24930.0,91.0,50.9,51.9,97.6,100.7,967697.0,986585.0,0.0,117473.0,400833.0,5669.0,566880.0,0.0,nan,32.9,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-246631.0,0.0,-14144.0,0.0,0.0,0.0
21546,worshipfacility,7.0,1960.0,1.0,1.0,27338.0,0.0,27338.0,65.0,19.2,24.6,60.4,77.4,526059.0,673616.0,0.0,154179.0,526081.0,0.0,0.0,0.0,nan,3.67,0.05,0.0,0.0,0.0,0.0,0.0,62899.75,0.0,1919.1875,6510.0,-610.2102049999999,0.0,0.0,0.0199999999999999
21549,other,7.0,1962.0,1.0,2.0,34416.0,0.0,34416.0,1.0,318.9,341.7,629.7,638.5,10975751.0,11759214.0,0.0,1422972.0,4855382.0,61206.0,6120570.0,0.0,nan,358.91,9.82,0.1000007600000003,0.0,0.4000007600000046,0.0,7877.75,100256.0,0.0,2308.8125,7835.0,0.0,0.0,0.0499999999999998,0.08
21550,small-andmid-sizedoffice,7.0,1930.0,1.0,3.0,45864.0,0.0,45864.0,89.0,66.4,87.2,95.5,116.7,3043767.0,4001200.0,0.0,165772.0,565638.0,24782.0,2478153.0,0.0,nan,135.56,2.9,0.0,0.0,0.0,0.0,0.0,48525.3125,0.0,-2423.6015999999945,0.0,29.45996100000002,2944.0,0.0999999999999978,0.0699999999999999
21557,k-12school,5.0,1999.0,1.0,2.0,49252.0,0.0,49252.0,7.0,63.6,71.5,150.7,159.0,3886929.0,4367564.0,0.0,719081.0,2453607.0,14334.0,1433424.0,0.0,nan,93.23,1.68,4.500001529999999,3.0,9.400001500000002,12.400003099999992,152444.125,289954.0,0.0,21785.9063,74307.0,780.9599600000001,78111.0,4.659999999999997,0.1899999999999999
21580,small-andmid-sizedoffice,4.0,1987.0,1.0,3.0,33176.0,0.0,33176.0,89.0,43.1,47.1,98.9,103.1,1429196.0,1562668.0,0.0,249525.0,851414.0,5778.0,577817.0,0.0,nan,36.62,0.99,0.0,0.0,0.0,0.0,0.0,120698.0,0.0,-5817.906200000027,0.0,-725.7001999999993,0.0,0.0,0.03
21582,retailstore,4.0,1993.0,1.0,3.0,25194.0,3764.0,21430.0,,68.5,76.7,157.1,162.9,1468882.0,1644446.0,0.0,255944.0,873316.0,5956.0,595602.0,0.0,nan,37.72,1.35,0.5999984700000027,0.0,1.7000000000000028,0.0,23955.875,67371.25,0.0,7021.406299999973,23893.0,0.0,0.0,0.1600000000000001,0.09
21601,k-12school,2.0,2000.0,1.0,2.0,75605.0,0.0,75605.0,83.0,29.1,32.4,74.7,78.2,2199689.0,2448321.0,0.0,468461.0,1598455.0,6013.0,601300.0,0.0,nan,43.08,0.48,0.0,0.0,0.0,0.0,0.0,29138.5,0.0,-1115.7031000000134,0.0,0.0,0.0,0.0,0.0699999999999999
21604,k-12school,2.0,2008.0,1.0,2.0,29525.0,0.0,29525.0,55.0,57.2,69.1,142.2,163.0,1688739.0,2041504.0,0.0,340281.0,1161087.0,5277.0,527700.0,0.0,nan,36.12,1.05,0.0,0.0,0.0,0.0,0.0,6188.6875,0.0,-7036.703100000013,0.0,0.0,0.0,0.0,0.08
21611,worshipfacility,2.0,1977.0,1.0,99.0,21948.0,0.0,21948.0,54.0,14.5,14.5,45.5,45.5,318205.0,318205.0,0.0,93261.0,318218.0,0.0,0.0,0.0,nan,2.22,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1874.5936999999976,0.0,-665.580078,0.0,0.0,0.0
21613,other,3.0,1927.0,1.0,3.0,31191.0,0.0,31191.0,,191.6,196.3,410.7,402.0,5975230.0,6123364.0,0.0,916606.0,3127589.0,28478.0,2847771.0,0.0,nan,173.05,5.12,7.999998470000001,4.699996949999999,6.600001500000005,3.300001500000008,177956.75,336701.5,0.0,-5297.796899999987,0.0,1960.5996090000008,196032.0,10.29,0.56
21617,other,5.0,1947.0,1.0,1.0,37377.0,0.0,37377.0,,77.7,97.4,143.6,164.3,2767381.0,3468627.0,0.0,309733.0,1056854.0,17106.0,1710570.0,0.0,nan,98.22,2.51,4.700000760000002,2.499999240000001,4.700000000000003,2.4000015299999973,122867.0,295030.625,0.0,-986.7968700000056,0.0,1262.109375,126233.0,6.68,0.29
21622,non-refrigeratedwarehouse,2.0,1977.0,1.0,1.0,29380.0,0.0,29380.0,30.0,28.6,28.6,89.9,89.9,841381.0,841381.0,0.0,246595.0,841416.0,0.0,0.0,0.0,nan,5.87,0.08,1.7000003800000023,0.2999992399999982,5.100003049999998,0.9000030499999951,36400.0,75350.125,0.0,10668.093800000002,36380.0,0.0,0.0,0.2600000000000002,0.1
21656,worshipfacility,3.0,1922.0,1.0,2.0,22688.0,0.0,22688.0,89.0,13.1,16.5,34.9,42.4,298063.0,375155.0,0.0,67011.0,228649.0,694.0,69423.0,0.0,nan,5.28,0.19,0.0,0.0,0.0,0.0,0.0,232987.0,0.0,-40209.375,0.0,1145.3007799999978,114561.0,5.129999999999996,0.0899999999999999
21687,other,2.0,1962.0,1.0,2.0,22364.0,0.0,22364.0,,57.6,68.0,109.8,120.6,1289073.0,1519643.0,0.0,154439.0,526966.0,7621.0,762128.0,0.0,nan,44.15,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5577.796899999987,0.0,0.0,0.0,0.0,0.1
21688,non-refrigeratedwarehouse,2.0,1952.0,1.0,1.0,27435.0,0.0,27435.0,49.0,44.9,54.2,94.5,104.3,1231546.0,1487513.0,0.0,182198.0,621684.0,6099.0,609888.0,0.0,nan,36.72,1.24,0.0,0.0,0.0,0.0,40999.6875,90371.875,0.0,12015.703100000012,40973.0,0.0,0.0,0.2799999999999993,0.11
21689,small-andmid-sizedoffice,2.0,1982.0,1.0,2.0,41262.0,0.0,41262.0,86.0,44.4,44.4,139.5,139.5,1810353.0,1810353.0,0.0,530584.0,1810428.0,0.0,0.0,0.0,nan,12.62,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11793.296899999988,0.0,0.0,0.0,0.0,0.07
21716,small-andmid-sizedoffice,7.0,1953.0,1.0,2.0,43183.0,0.0,43183.0,1.0,198.1,203.4,574.7,574.8,7542332.0,7743013.0,0.0,1958231.0,6681762.0,8608.0,860848.0,0.0,high outlier,92.3,1.47,22.700003100000004,18.100001500000005,25.60000310000001,19.39999689999999,452775.0,685733.5,0.0,5352.703100000013,18235.0,4344.79004,434513.0,23.210000000000008,0.31
21723,worshipfacility,4.0,1908.0,1.0,3.0,45680.0,0.0,45680.0,81.0,43.5,54.7,68.5,80.7,1988784.0,2497735.0,0.0,145906.0,497853.0,14910.0,1490952.0,0.0,nan,82.66,1.76,0.0,0.0,0.0,0.0,0.0,98311.75,0.0,-776.6875,0.0,0.0,0.0,0.0,0.09
21741,seniorcarecommunity,7.0,2006.0,1.0,14.0,724148.0,71790.0,652358.0,12.0,50.8,55.0,119.3,123.7,36863348.0,39938820.0,0.0,6717000.0,22919355.0,139449.0,13944944.0,0.0,nan,900.39,1.11,2.4000015299999973,1.5000015299999987,5.199996949999999,2.800003050000001,526842.5,948552.0,0.0,79673.625,271608.0,2549.860350000001,254997.0,15.429999999999993,0.12
21768,worshipfacility,1.0,1957.0,1.0,1.0,23562.0,0.0,23562.0,95.0,16.4,16.4,51.6,51.6,550767.0,550767.0,0.0,161421.0,550790.0,0.0,0.0,0.0,nan,3.84,0.06,0.1000007600000003,0.0,0.2000000000000028,0.0,2835.625,53614.75,0.0,830.5937999999733,2792.0,0.0,0.0,0.0200000000000004,0.13
21772,small-andmid-sizedoffice,6.0,1999.0,1.0,4.0,28844.0,0.0,28844.0,,45.2,49.6,142.0,155.8,926923.0,1016744.0,0.0,271666.0,926961.0,0.0,0.0,0.0,nan,6.46,0.09,0.7999984700000056,0.9000015299999973,0.7999999999999972,1.0,214005.0,671315.0,0.0,-2391.6875,0.0,2221.1796900000045,222166.0,11.740000000000007,0.0999999999999998
21774,k-12school,1.0,1988.0,1.0,2.0,50701.0,0.0,50701.0,77.0,36.0,37.6,113.0,118.0,1921222.0,2006841.0,0.0,563078.0,1921302.0,0.0,0.0,0.0,nan,13.39,0.1,1.1000003800000009,1.3999996199999991,3.5000015299999987,4.500001529999999,25901.906299999973,32791.40629999997,0.0,7591.203129999994,25892.0,0.0,0.0,0.1800000000000001,0.05
21783,non-refrigeratedwarehouse,2.0,1989.0,1.0,1.0,21101.0,0.0,21101.0,,26.7,31.9,50.6,56.1,562617.0,673686.0,0.0,66862.0,228142.0,3345.0,334485.0,0.0,nan,19.35,0.87,0.2000003800000023,0.4999996200000005,0.7999999999999972,1.4000015299999973,6077.3125,38825.3125,0.0,1781.5,6049.0,0.0,0.0,0.04,0.1099999999999999
21784,refrigeratedwarehouse,2.0,1914.0,1.0,2.0,45594.0,0.0,45594.0,83.0,27.9,27.0,87.7,84.9,1272821.0,1233305.0,0.0,373043.0,1272874.0,0.0,0.0,0.0,nan,8.87,0.07,7.900001500000002,0.2999985000000009,6.200003100000004,0.0,250123.5,618441.25,0.0,-9279.406200000029,0.0,2818.291020000001,281785.0,14.75,0.69
21785,other,2.0,1950.0,1.0,1.0,26660.0,0.0,26660.0,,84.7,84.7,265.8,265.8,2257181.0,2257181.0,0.0,661542.0,2257274.0,0.0,0.0,0.0,nan,15.74,0.23,1.4999992399999975,0.0,0.0,0.0,55379.0,189691.813,0.0,-35116.0,0.0,1752.0197750000002,175195.0,8.469999999999999,0.32
21786,non-refrigeratedwarehouse,2.0,1975.0,1.0,1.0,28126.0,0.0,28126.0,48.0,29.6,34.6,73.6,80.3,831577.0,973899.0,0.0,167990.0,573206.0,2584.0,258395.0,0.0,nan,17.72,0.54,0.0,0.0,0.5999969500000049,0.0,0.0,279892.75,0.0,6016.101559999996,20516.0,-440.2490199999993,0.0,0.0,0.0
21787,non-refrigeratedwarehouse,2.0,1964.0,1.0,1.0,35000.0,0.0,35000.0,49.0,11.4,11.4,35.9,35.9,400054.0,400054.0,0.0,117249.0,400070.0,0.0,0.0,0.0,nan,2.79,0.03,10.700000760000002,10.40000076,14.49999924,13.799999239999998,236541.625,247018.625,0.0,10443.0,35626.0,2009.5908200000003,200911.0,10.920000000000002,0.51
21792,non-refrigeratedwarehouse,2.0,1962.0,1.0,1.0,26150.0,0.0,26150.0,27.0,28.8,28.1,66.2,64.0,752991.0,735087.0,0.0,131759.0,449580.0,3034.0,303430.0,0.0,nan,19.25,0.66,1.9000003800000016,1.59999981,2.9999996200000005,2.80000038,58626.0,94190.59379999996,0.0,4732.898439999997,16141.0,424.610107,42476.0,2.37,0.0999999999999999
21793,small-andmid-sizedoffice,2.0,1967.0,1.0,2.0,24000.0,0.0,24000.0,77.0,43.0,43.0,134.9,134.9,1031081.0,1031081.0,0.0,302193.0,1031124.0,0.0,0.0,0.0,nan,7.19,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8928.796899999987,0.0,0.0,0.0,0.0,0.13
21794,k-12school,3.0,1968.0,1.0,5.0,40809.0,0.0,40809.0,34.0,68.2,77.2,147.8,157.2,2785058.0,3150445.0,0.0,435965.0,1487573.0,12975.0,1297547.0,0.0,nan,79.28,1.79,4.399996950000002,2.500001529999992,13.899993900000029,7.899987800000019,175117.5,438866.5,0.0,51323.812999999966,174976.0,0.0,0.0,1.2199999999999989,0.39
21795,other,3.0,1999.0,1.0,2.0,85750.0,0.0,85750.0,,79.6,95.8,151.7,172.3,1592817.0,1915865.0,0.0,190841.0,651178.0,9417.0,941666.0,0.0,nan,54.55,0.6,0.0,0.0,0.0,0.0,0.0,46436.0,0.0,-9753.3125,0.0,-1394.3710900000003,0.0,0.0,0.04
21796,k-12school,3.0,1905.0,1.0,1.0,83882.0,0.0,83882.0,72.0,30.3,34.3,69.6,73.8,2539565.0,2876720.0,0.0,444200.0,1515673.0,10240.0,1023954.0,0.0,nan,64.95,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17325.0,0.0,0.0,0.0,0.0,0.15
21822,distributioncenter,4.0,1912.0,1.0,1.0,28080.0,0.0,28080.0,,21.9,21.9,56.4,56.4,615573.0,615573.0,0.0,131473.0,448603.0,1670.0,166989.0,0.0,nan,12.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26920.25,0.0,-2726.3007799999978,0.0,0.0,0.5199999999999996
21879,seniorcarecommunity,5.0,1954.0,1.0,2.0,51298.0,0.0,51298.0,81.0,122.8,127.6,213.0,218.2,6297193.0,6548040.0,0.0,605188.0,2064987.0,42323.0,4232292.0,0.0,nan,239.17,4.49,0.3999992399999996,0.0,1.4000015299999973,0.0,12574.875,67696.875,0.0,3685.296899999986,12543.0,0.0,0.0,0.0900000000000007,0.13
21883,worshipfacility,5.0,1962.0,1.0,1.0,22047.0,0.0,22047.0,100.0,10.5,10.5,32.9,32.9,239873.0,239873.0,0.0,70303.0,239883.0,0.0,0.0,0.0,nan,1.67,0.03,0.0,0.0,0.0,0.0,0.0,133273.0,0.0,-4878.0,0.0,-2297.8554700000022,0.0,0.0,0.0
